int	string	string	string
id	媒体名称	评论员	评价内容
id	name	commentators	content
101	豆苗	汤姆	我走过最远的路，就是导演的套路。
102	豆苗	汤姆	如果奥斯卡有一个奖项是叫年度最烂电影的话，那这部电影肯定能获得。
103	豆苗	汤姆	作为续集来说真是让人难以置信的退步，我理解对于导演来说这是一部不得不拍的续集，但是对于观众来说这绝对是一部看了吐血的烂片。
104	豆苗	汤姆	故事还不错，起码主线是流畅的，其他细节导演也比较用心，唯独就是配角的作用都可以忽略了。
105	豆苗	汤姆	技术的升级无法改变观念上的陈腐，而后者才是一部电影成功的关键。如果一部电影只注重于堆砌明星和效果，而对剧情的种种细节采取放任态度，那么不论多大牌的阵容都不足以填补这个巨坑。
106	豆苗	汤姆	导演想要在这部影片里同时表达很多东西，但最终我们看到的成果恰恰证明了什么叫做贪多嚼不烂。
107	豆苗	汤姆	怎么说呢，这部电影肯定不会载入史册，也不足以对你的人生有什么启发。但是如果你只想安安静静啥都不想的从现实世界脱离几小时，那选择这部电影肯定没错的。
108	豆苗	汤姆	它把我们带入另一个世界，并彻底使它成为我们的一部分。
109	豆苗	汤姆	影片的前40分钟，几乎没有任何对白，没有任何人类角色出现，却已经成就了一首充满了美和智慧的影像之诗，其中的深意更值得我们花时间用心体会。
110	豆苗	汤姆	这样的影片不需要影评，他已超越了商业，只需要内心的认同。
201	追光网	斯科特	为何我的眼里常含泪水？因为我被导演坑的深沉…
202	追光网	斯科特	导演对伏笔的理解好像停留在小学水平，到处都是生怕被人遗漏的“伏笔”，这既没起到伏笔应该起到的效果，还造成了提前的剧透，甚至为了预留伏笔而打乱了电影本身的节奏。
203	追光网	斯科特	这部电影最值回票价的就是观影会上提供的爆米花了，味道非常不错。建议大家把心态放平，买爆米花送电影，还是可以的。
204	追光网	斯科特	一个就算砍掉台词也不会对大家观影造成任何影响的电影，慢着，仔细想想，把那些生硬的台词去掉之后应该反而能让它变得更好。
205	追光网	斯科特	只能说电影的想法很好，但是从我观看后的感觉，电影并未能表达出一些比较有深度内涵的东西。完美印证了：理想很丰满，现实很骨感！
206	追光网	斯科特	我都不知道要怎么评价这部电影了，说它失败吧，它成功的用自己的愚蠢把我给逗乐了。
207	追光网	斯科特	同档期上映影片中的一股清流，让人重新相信爱情…不是，重新相信电影了。
208	追光网	斯科特	大家不要被这片的豪华卡司阵容给骗了，这片本身就是个…精品佳作啊！！镜头剪辑恰到好处，情节冲突安排合理，简直意犹未尽！唯一的疑问就是，导演什么时候拍续集？
209	追光网	斯科特	我为我生在有这部电影出现的时代而感到幸运。
210	追光网	斯科特	一件真正的艺术作品，每一组成部分都是艺术家精心设计雕琢的，所以添不得一笔，减不得一笔，改不得一笔，否则，就不再是同一件艺术品了。
301	拼票票	杰克	剧情为零，故事性为零，脸谱化的表演，无聊冗长的流水账，连电影都算不上。
302	拼票票	杰克	作为一部电影，影片中包含的广告内容实在是太多了，我感觉就是看了两个小时同一帮人拍出来的广告集锦。
303	拼票票	杰克	看完影片很难过，电影界从没拍过烂片的导演从此又少了一个。演员表演很到位，奈何导演不给力。
304	拼票票	杰克	好一幅幅唯美的画面，美景加美人，真是“此景只应天上有，人间难得几回见”。看来花费那么多的钱做特效也不是白花的，看的本人都神往了。
305	拼票票	杰克	似乎无法总结这出戏到底想说明什么，没有较核心骨的精神或情怀体现。电影嘛，2个小时，要浓缩成一个有曲折有深度的故事，确实很难做到，但总得体现一些什么，比如一些价值观的树立，或许一种精神的引领，亦或一种情怀的渲染，但这出戏整体就是一个流水账。
306	拼票票	杰克	宏伟建筑，异域风情，极度奢华，史诗巨制，华丽外壳内里却苍白无力，看点都集中在女主角的变装秀上了，一个场景一套衣服，甚至让人有种错觉——我到底是在米兰看时装秀，还是在电影院看电影？
307	拼票票	杰克	画面恢弘，将久远的史话娓娓道来，有时觉得像在看舞台剧，有时觉得像在看会动的油画，但就是不像看电影。表现手法有点浮夸，不太符合当代人的品味。看得出来导演很有想法，但有时候也许需要再更接地气一点。
308	拼票票	杰克	平缓的节奏蕴藏着巨大的张力，音乐舒缓淡淡忧伤，利益冲突人性博弈如暗流汹涌。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。看这部电影需要沉下心来细细品味，无论何时翻出来重温都能有新的感受。
309	拼票票	杰克	复古克制的拍摄手法，情感深厚震撼心灵。导演分寸感很强，拿捏准确，优雅流畅不落窠臼，期待奥斯卡拿奖！
310	拼票票	杰克	这是一部让人感到“此生无憾”的电影。如果有时光机，我会做的第一件事就是回到看这部电影之前，去再感受一次这种震撼。
