int	string	string	string	string	string
提示ID	key	所属模块	提示名称	提示内容-中文	提示内容-英文
id	key	module	name	zh_cn_notice	en_notice
1000	Msg_test	测试	测试	test	
1001	account_name_long	账号信息	名称长度不对	名称规定长度为【4-{0}】	
1002	account_name_num	账号信息	名称为纯数字	名称不能为纯数字	
1003	account_name_space	账号信息	名称开头和结尾有空格	名称开头和结尾不能有空格	
1004	account_name_repeat	账号信息	名称与原名相同	名称与原名相同	
1005	account_name_blockword	账号信息	名称中有屏蔽词	名称中有非法字符	
1006	account_name_repeatothers	账号信息	名称与其他玩家重名	该名称已被使用	
1007	account_name_ok	账号信息	公司重命名成功	您的公司已更名为	
1008	account_name_often	账号信息	频繁修改个性签名提示	个性签名每分钟只能修改一次	
1009	produce_one_click	生产	一键生产	一共增加了{0}个生产队列	
1010	produce_warehouse_max	生产	一键领取达仓库上限	仓库已满，请提升仓库容量	
1011	produce_recvip_less	生产	街区等级不够	需要升到{0}<br/>才能使用一键领取功能	
1012	produce_item_less	生产	没有足够的道具	没有可以领取的道具，请先进行生产	
1013	produce_paper_less	生产	没有足够的图纸	生产图纸不足	
1014	produce_item_max	生产	生产线累计奖励到达上限	请先领取累计奖励	
1015	produce_line_max	生产	生产线队列到达上限	该生产线队列已达上限，<br/>请提升生产线等级	
1016	produce_pre_unlock	生产	前置生产线未解锁	需解锁前一生产线	
1017	produce_diamond_less	生产	钻石不足	钻石不足	
1018	produce_gold_less	生产	金币不足	金币不足	
1019	produce_provip_less	生产	街区等级不够	需要升到{0}<br/>才能使用一键生产功能	
1020	produce_lines_max	生产	所有生产线队列到达上限	所有生产线队列已达上限，<br/>请提升生产线等级	
1021	non_midia_visit	拍摄	未开启媒体访问提示	收到了几家综艺节目的通告邀请，打算上这部电影的主演上节目宣传，但是因为[商务部不足3级]，暂时无法接受邀请	
1022	movie_non_suitable_actor	拍摄	没有符合条件的艺人	此角色没有合适的艺人扮演	
1023	movie_non_enough_actor	拍摄	没有足够数量的艺人	您需要更多的艺人扮演此角色	
1024	movie_actor_recruit	拍摄	艺人招募提示	可在“星探”招募更多艺人	
1025	ranking_list_reset	拍摄	比赛排行重置提示	颁奖后重新分组并重置排名	
1026	movie_stop_tips	拍摄	提前下映提示	提前结束只能领取剩余时间{0}%收益，您确定要提前结束吗？	
1027	ranking_list_tips1	排行	排行榜滚动文字1	好电影不一定大卖，烂电影基本都扑街	
1028	ranking_list_tips2	排行	排行榜滚动文字2	好的市场，如果遇到好电影，票房将难以想象	
1029	movie_ranking_list_hidden	排行	票房排行隐藏显示提示	更多影片信息已隐藏	
1030	block_upgrade_requirement	街区	街区升档需求提示	提升到{0}需要：	
1031	trophy_tips	街区	奖杯获取提示	每天22点奥斯卡可获得奖杯	
1032	trophy_tips2	街区	奖杯获取补充提示	(每天比赛排名越高，票房大卖电影越多，奖杯就越多)	
1033	finished_block	街区	完成街区提示	您已经完成本档次的比赛，并获得下列奖励	
1034	cinema_sign	院线	院线签约	恭喜您签约{0}({1})，您可上映的院线数量增加至{2}家	
1035	ranking_list_instruction1	排行榜	奖励说明1	每周一到周六，根据排名奖励钻石	
1036	ranking_list_instruction2	排行榜	奖励说明2	,	
1037	ranking_list_instruction3	排行榜	奖励说明3	周日，根据排名奖励大量钻石	
1038	change_server_name	排行榜	修改服务器名称	请输入一个个性化的名称吧，每周只可修改一次哦！	
1039	choose_cinema	影城签约	未选择签约影城	请选择一个影城进行签约	
1040	movie_get_tips	拍摄	领取收益提示	最多只能有{0}部持续收益的电影，我们处理一下已经收益完毕的电影吧	
1041	movie_story_coordination	拍摄	剧本契合提示	我很熟悉这种类型的剧本，放心交给我吧~	
1042	movie_character_coordination	拍摄	角色契合提示	这正是我所擅长的角色类型！	
1043	movie_story_character_coordination	拍摄	剧本角色契合提示	剧本和角色看起来并不算难，应该不会出岔子	
1044	movie_none_coordination	拍摄	剧本角色无契合	第一次拍摄这样的电影，好紧张好期待啊！	
1049	movie_drop_tips	拍摄	电影掉落提示	这部电影票房{0}，我们获得了：	
1050	movie_too_much	拍摄	玩家拍摄次数过多	最近的观众们似乎对这类型的片审美疲劳了呢…	
1051	movie_critical1	拍摄	市场风向暴击1	演员在拍摄期间传出的不好的绯闻看来影响了市场对我们这部电影的评价…	
1052	movie_critical2	拍摄	市场风向暴击2	好像有人非法盗映我们的电影还把资源放到网上，导致买票来看电影的观众数量大减…	
1053	movie_critical3	拍摄	市场风向暴击3	这部片似乎正好戳中了大家的兴奋点，社交媒体上都是关于我们电影的好评！	
1054	movie_critical4	拍摄	市场风向暴击4	我们的电影出乎意料的成为了同档期中的爆款！	
1060	movie_target_fail	拍摄	剧本目标未达成	拍摄目标没达成，无法获得影业协会颁发的奖励	
1061	movie_big_sell_tips	拍摄	电影未大卖提示	因为电影没有大卖，收藏家协会不予颁发宝物奖励	
1062	earnings_over	拍摄	持续收益结束提示	收益已结束（比赛档次越高，持续收益就越高）	
1063	oscar_non_rank_tips	奥斯卡	票房未入榜提示	未进入前50名	
1064	oscar_non_rank_tips2	奥斯卡	总票房未入榜提示	未进入前30名	
1065	oscar_non_movie_tips	奥斯卡	未拍摄电影提示	没有拍摄电影	
1066	oscar_non_bigsell_tips	奥斯卡	未大卖提示	没有大卖电影	
1067	oscar_non_target_tips	奥斯卡	未完成目标提示	未达成目标	
1068	block_upgrade_msg	街区	街区升档提示	比赛档次提升，获得奖励	
1070	movie_big_sell1	拍摄	电影大卖报纸1	小制作大票房，{0}新片《{1}》剑指奥斯卡	
1071	movie_big_sell2	拍摄	电影大卖报纸2	{0}和{1}擦出火花，{2}新片{3}大受欢迎	
1072	movie_big_sell3	拍摄	电影大卖报纸3	{0}的新片{1}点燃市场	
1080	oscar_non_actor	奥斯卡	奥斯卡男演员无提名	很遗憾，并未有演员参加最佳男演员的候选，所以我们将不会颁发该奖项	
1081	oscar_non_actress	奥斯卡	奥斯卡女演员无提名	很遗憾，并未有演员参加最佳女演员的候选，所以我们将不会颁发该奖项	
1082	oscar_non_performance	奥斯卡	奥斯卡最佳表演无提名	很遗憾，并未有电影参加最佳表演电影的候选，所以我们将不会颁发该奖项	
1083	oscar_non_art	奥斯卡	奥斯卡最佳艺术无提名	很遗憾，并未有电影参加最佳艺术电影的候选，所以我们将不会颁发该奖项	
1084	oscar_non_popular	奥斯卡	奥斯卡最受欢迎无提名	很遗憾，并未有电影参加最受欢迎电影的候选，所以我们将不会颁发该奖项	
1085	oscar_actor	奥斯卡	奥斯卡最佳男演员	最佳男演员	
1086	oscar_actress	奥斯卡	奥斯卡最佳女演员	最佳女演员	
1087	oscar_performance	奥斯卡	奥斯卡最佳表演电影	最佳表演电影	
1088	oscar_art	奥斯卡	奥斯卡最佳艺术电影	最佳艺术电影	
1089	oscar_popular	奥斯卡	奥斯卡最受欢迎电影	最受欢迎电影	
1090	oscar_forbid_movie	拍摄	奥斯卡前禁止拍摄电影	为保证公平，奥斯卡颁奖前5分钟禁止拍摄电影	
1091	non_deletable_mail	邮件	没有可删除的邮件	没有可删除的邮件	
1092	non_can_receive_mail	邮件	没有可领取的邮件	没有可领取的邮件	
1093	non_mail	邮件	空邮箱	您的收件箱中没有邮件！	
1094	story_target_tips	拍摄	剧本有目标	有剧本目标奖励	
1095	story_non_target_tips	拍摄	剧本没有目标	没有目标奖励（需2星以上剧本）	
1096	story_midia_tips	拍摄	媒体评价提示	评价越高，点赞数越多，电影节越容易获奖。（有时还能提升票房）	
1097	null_id	合作	id无效	无效的id	
1098	cooperated_player	合作	目标玩家已合作	该玩家已有合作伙伴！	
1099	no_cooperation_num	合作	本周合作次数不足	本周合作伙伴太多了，请等待下周吧！	
1100	no_cooperation_orders	合作	没有未完成的订单	没有未完成的订单	
1101	relieve_cooperation	合作	解除合作	是否解除合作关系？|n|注意：每周只能和三家不同的公司进行合作	
1102	repetition_cooperation	合作	重复邀请	邀请已发送，请等待对方回应	
1103	null_actor_send	仓库	赠送资产	请选择艺人	
1104	build_confirm	建筑	建造确认	是否建造{0}？	
1105	build_non_material	建筑	材料不足	{0}数量不足	
1106	build_non_level	建筑	等级不足	需要公司等级{0}	
1107	build_non_prebuilding	建筑	没有前置建筑	需要建造{0}{1}	
1108	build_non_block	建筑	街区档次不足	需要提升到{0}	
1109	build_be_builded	建筑	房间已建造提示	已建造	
1110	movie_market_bad1	拍摄	剧本与市场观众对比差1	目前关于我们要拍摄的《{0}》的消息转发数量并不多，感觉题材和观众喜好有点不匹配	
1111	movie_market_bad2	拍摄	剧本与市场观众对比差2	对我们准备拍摄的《{0}》的报道有点少，感觉和当前观众想看的有点偏差……	
1112	movie_market_good1	拍摄	剧本和市场观众对比好1	很多观众打电话和我们确认是不是真的要拍《{0}》，感觉大家都很期待这个题材的电影！	
1113	movie_market_good2	拍摄	剧本和市场观众对比好2	人气调查显示《{0}》的故事非常受欢迎！一定会大卖的！	
1114	movie_actor_pay	拍摄	电影艺人报酬提示	拍摄《{0}》需要支付艺人薪酬：	
1115	movie_mediavisit_tips	拍摄	艺人参加媒体访问提示	{0}  参加 {1} ，电影期待值增加 {2}	
1116	movie_type_addition	拍摄	电影熟练度加成	{0}电影熟练度	
1117	movie_cinema_tips	拍摄	签约院线提示	您是本院线的{0}级合作伙伴，可以在我们旗下的{1}家影院上映	
1118	movie_unlock_cinema_tips	拍摄	未签约院线提示	您没有与我们签约，不能在本院线上映（需提升至{0}）	
1119	movie_market_feedback	拍摄	下映后市场反馈	当前市场喜好导致{0}票房提升	
1120	movie_story_feedback	拍摄	下映后剧本反馈	有超过{0}的观众喜欢这个故事	
1121	movie_shoottype_feedback	拍摄	下映后拍摄类型反馈	有{0}还认为{1}非常适合此故事	
1122	movie_licence_finish_tips	拍摄	许可证回复提示	今天的许可证已发放完毕，{0}后将会继续发放	
1123	movie_type_tips	拍摄	拍摄类型提示	选择的类型：{0}	
1124	movie_state_tips1	拍摄	拍摄1阶段提示	选择类型	
1125	movie_state_tips2	拍摄	拍摄2阶段提示	媒体采访	
1126	movie_state_tips3	拍摄	拍摄3阶段提示	杀青	
1150	bag_own_actor_tips	仓库	拥有艺人提示	您已拥有此艺人！	
1151	bag_no_compound_tips	仓库	合成物品不足提示	物品不足，还需要{0}个才能合成	
1152	bag_no_compound_choose_tips	仓库	未选择合成提示	请选择要合成的数量	
1153	bag_no_send_choose_tips	仓库	未选择赠送提示	请选择要赠送的数量	
1154	bag_no_split_choose_tips	仓库	未选择拆分提示	请选择要拆分的数量	
1155	bag_no_sell_choose_tips	仓库	未选择出售提示	请选择要出售的数量	
1156	oscar_presentation_title	奥斯卡	奥斯卡获奖发言标题	恭喜您摘得{0}，请发表获奖感言	
1157	oscar_default_presentation1	奥斯卡	奥斯卡预设发言1	感谢大家的认可，请相信我们的实力，请投资我们的公司！	
1158	oscar_default_presentation2	奥斯卡	奥斯卡预设发言2	我一开始就坚信一定是我会得奖！而且下一次也会是我！	
1159	oscar_default_presentation3	奥斯卡	奥斯卡预设发言3	感谢各种TV，感谢主持人，感谢观众的支持，我还会回来的！	
1160	movie_day	拍摄	上映第N天	第{0}天: +{1}	
1161	movie_remaining_days	拍摄	上映天数	还将上映{0}天	
1162	movie_story_times	拍摄	剧本时长	{0}分钟	
1163	movie_character_coordination_tips	拍摄	角色契合	角色契合	
1164	movie_story_coordination_tips	拍摄	剧本契合提示	剧本契合	
1165	bag_send_no_target	仓库	没有可赠送资产的艺人	暂无合适的艺人可赠送	
